id;start_date;end_date;language
1;2025-03-18T00:02:40;2025-03-17T16:55:34;ENGLISH
2;2025-03-17T20:05:53;2025-03-17T17:14:27;ENGLISH
3;2025-03-17T11:58:12;2025-03-17T18:57:01;SPANISH
4;2025-03-17T14:30:47;2025-03-17T08:21:53;FRENCH
5;2025-03-17T22:47:58;2025-03-18T00:05:51;ENGLISH
6;2025-03-17T16:30:50;2025-03-18T05:43:32;SPANISH
7;2025-03-17T21:54:38;2025-03-17T09:35:04;FRENCH
8;2025-03-17T12:55:27;2025-03-17T10:04:45;ENGLISH
9;2025-03-17T17:40:10;2025-03-17T13:55:54;SPANISH
10;2025-03-17T21:58:28;2025-03-17T12:15:33;SPANISH
