id;street_address;postal_code;city;state_province
1;wherever spectacles;meanwhile under physically;Wilmington;so whose neck
2;inasmuch;polyester;Strosinland;gosh yearly
3;sedately amid;mallard whenever;Kuhnstead;regarding after provider
4;ack confirm yippee;when forager;Hellerton;whenever yet rigid
5;redevelop;yet brand provided;East Marge;unwelcome anticodon
6;monthly ouch;acidic;West Devanville;as psst upward
7;amid forenenst;throughout marimba blah;Boganville;colonialism helpfully sweatshop
8;serenade fatherly oof;blah quaintly astride;South Karli;snappy defiantly
9;flawed jubilantly whoa;ha pronoun likewise;St. Petersburg;sadly
10;experience underpants;rust why lined;Port Royalton;sad object
